Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Bangladesh	BGD	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	-0.84188991	10.0841137	5.723206373	7.089837298	8.324260818	14.23484432	15.38726944	17.97957168	15.54568757	15.12767978	16.7588804	16.89705398	16.94579912	15.59388636	16.10295987	18.91466875	20.18398653	20.89305581	22.16022631	21.01796644	20.25696871	23.13246086	24.25977727	25.01648864	26.10671247	25.85554928	28.94890006	28.70537848	29.53814612	30.71348384	32.79135599	33.63856322	34.44126058	35.7989343	35.58127495	34.54427853	36.73761683	35.98457699	35.37489978	33.85177628	35.09347676	
Bulgaria	BGR	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																					38.33210547	36.42397572	35.20584546	33.43848261	35.40697564	31.9664736	32.33158773	30.67610851	33.2986973	29.68516639	15.91802063	19.31189922	13.05080833	6.328194508	8.672732895	15.94472578	11.44812332	21.30027642	25.64970746	15.77971707	13.93696347	15.71861477	17.63808812	16.59658483	16.81177085	16.71544744	15.3817587	10.40179507	16.06711229	21.37173905	22.04543417	23.50304152	22.76138017	24.94242506	23.67390315	23.39089711	26.57099023	
Bahrain	BHR	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																					56.085596	54.74436342	49.04712636	46.34561626	42.96244203	39.6153412	28.46183725	29.34498073	33.24122917	22.66900231	17.53883925	14.91009129	11.94461436	11.9681273	17.32919938	18.82694149	18.68434812	17.62019005	9.093312514	7.655293654	26.38384079	18.91806574	24.04635495	26.73697565	25.20596836	36.91589136	43.10166158	48.75937246	45.58687432	31.92501881	33.35274257	31.95429266	31.22125959	28.38169684	23.28577311			
"Bahamas, The"	BHS	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																		17.93771846	11.38234459	10.89246562	17.52998001	14.757571	21.52484966	23.32057957	14.92004264	18.45240963	18.31884311	18.75765673		25.13752389	23.62454898	20.9524719	25.29507005	21.4195573	21.00403665	31.82014593	36.12047166	20.25978701	21.80040846	27.03235247	25.33906043	21.48103384	24.84884874	23.82799285	25.90739741	21.70644519	17.94919916	19.32550354	17.59577541	16.30627612	14.14366779	10.83200899	21.48424677	21.80041637	16.79695553	17.47302664	18.08091501	
Bosnia and Herzegovina	BIH	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																							24.75633103	14.97865409	12.06662984	5.683846799	0.934078046	-7.392962003	-0.856949079	9.09685546	13.63353895	15.9028608	12.86735677	12.91683689	10.13084311	9.209269312	10.42825351	12.74071277	11.72215623	13.04526282	14.79692774	
Belarus	BLR	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																		25.6556331	20.09953781	20.61615912	19.8956011	21.12293949	22.00859288	21.8631315	23.14394052	21.1317141	19.63514586	22.48036294	23.69643656	29.84575688	28.3408271	27.54277402	29.28165761	24.88034186	26.63185594	30.73582858	33.15711196	29.78949999	28.947518	26.90308894	22.80594633	
Belize	BLZ	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																									22.89766971	20.38712921	29.03082723	29.07840951	25.94401042	27.59010601	33.27541268	23.42593665	27.02787933	28.00561253	19.14952271	23.14494955	21.76375268	19.67766268	15.96794118	12.69269824	12.3591311	3.679909621	8.282604484	3.116653835	5.511905964	8.036484599	16.24664041	16.42707628	16.36814379	13.401472	10.43838476	13.96135275	13.87997528	10.76816096	12.84754966	12.73050157		
Bermuda	BMU	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																		42.63873409	42.0801938	42.75615661	42.15104202	42.59517263				
Bolivia	BOL	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	21.09661303	19.69985141	20.53721336	20.58013724	20.2649659	22.34510802	9.94407302	16.726518	12.817157	9.908984174	4.107556908	6.129393021	7.310315466	9.314241161	10.20556301	9.39496037	8.917161543	8.110810364	10.43869472	11.32436766	12.95034255	12.90542241	13.07179471	10.91725497	11.3197126	11.55580302	12.62327303	15.048581	17.82824671	20.69827982	27.53745331	29.74512792	29.94658311	23.82572271	26.12435087	26.88969246	27.33862117	25.47618982	21.91732754	14.71966453	15.34033328	
Brazil	BRA	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																21.83711417	19.52124571	20.11644129	19.95870231	18.52161168	18.47511656	19.44343243	16.12051958	14.14234435	16.70760955	20.16603705	17.9229623	22.66872297	24.93834871	33.97764362	19.43617945	18.9673369	20.46382403	20.68892891	20.43204364	14.73546043	13.03617092	12.57100088	12.06565826	11.17899624	13.08812491	12.92905597	15.17853548	16.01553584	18.7111506	17.78789921	17.53942077	18.04403263	17.72704392	14.54978235	18.49871823	19.0627538	18.4416741	18.56023936	16.34188224	14.74586362	14.17397523	
